id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3335,HD 45364 c,112,0.6579 Jupiters,8.08,2008
3336,HD 45652 b,114,0.433 Jupiters,8.1,2008
3337,HD 457 b,180,23.8334 Jupiters,7.72,2022
3338,HD 46375 b,96,0.226 Jupiters,7.91,2000
3339,HD 47186 b,122,22.2481 Earths,7.63,2008
3340,HD 47186 c,122,0.35061 Jupiters,7.63,2008
3341,HD 4732 b,179,2.37 Jupiters,5.9,2012
3342,HD 4732 c,179,2.37 Jupiters,5.9,2012
3343,HD 47366 b,275,2.3 Jupiters,6.11151,2016
3344,HD 47366 c,275,1.88 Jupiters,6.11151,2016
3345,HD 47536 b,400,7.32 Jupiters,5.25,2002
3346,HD 4760 b,1755,13.9 Jupiters,7.51,2021
3347,HD 48265 b,295,1.525 Jupiters,8.05,2008
3348,HD 4917 b,666,1.615 Jupiters,8.03,2018
3349,HD 49674 b,140,31.783 Earths,8.1,2002
3350,HD 50499 b,151,1.636 Jupiters,7.21,2005
3351,HD 50499 c,151,2.93 Jupiters,7.21,2019
3352,HD 50554 b,102,4.954 Jupiters,6.8561,2002
3353,HD 51608 b,114,12.77 Earths,8.17,2019
3354,HD 51608 c,114,14.31 Earths,8.17,2019
3355,HD 52265 b,98,1.21 Jupiters,6.29351,2000
3356,HD 5278 b,188,7.8 Earths,7.94,2021
3357,HD 5278 c,188,18.4 Earths,7.94,2021
3358,HD 5319 b,396,1.556 Jupiters,8.05,2007
3359,HD 5319 c,396,1.053 Jupiters,8.05,2014
3360,HD 55696 b,254,3.87 Jupiters,7.95,2018
3361,HD 5583 b,715,5.78 Jupiters,7.604,2016
3362,HD 5608 b,190,1.681 Jupiters,6.00272,2012
3363,HD 56414 b,888,13.3 Earths,9.217,2022
3364,HD 564 b,167,0.33 Jupiters,8.32,2014
3365,HD 56957 b,201,5.95712 Jupiters,7.57,2022
3366,HD 5891 b,925,7.63 Jupiters,8.09,2011
3367,HD 59686 A b,291,6.92 Jupiters,5.44299,2016
3368,HD 60292 b,1028,6.5 Jupiters,6.94657,2020
3369,HD 60532 b,85,1.06 Jupiters,4.44,2008
3370,HD 60532 c,85,2.51 Jupiters,4.44,2008
3371,HD 62364 b,173,17.42688 Jupiters,7.32,2022
3372,HD 62364 c,173,24.80132 Jupiters,7.32,2022
3373,HD 62509 b,34,2.3 Jupiters,1.12512,2006
3374,HD 62549 b,161,8.72588 Jupiters,7.72,2022
3375,HD 70642 b,95,1.993 Jupiters,7.17,2003
3376,HD 7199 b,118,0.27 Jupiters,8.06,2011
3377,HD 72490 b,412,1.768 Jupiters,7.82,2018
3378,HD 72659 b,169,3.37143 Jupiters,7.46,2002
3379,HD 72659 c,169,18.71468 Jupiters,7.46,2022
3380,HD 72892 b,227,5.46348 Jupiters,8.83,2016
3381,HD 73267 b,164,4.17014 Jupiters,8.9,2008
3382,HD 73267 c,164,5.40071 Jupiters,8.9,2022
3383,HD 73526 b,317,3.08 Jupiters,8.99,2002
3384,HD 73526 c,317,2.25 Jupiters,8.99,2005
3385,HD 73534 b,272,1.112 Jupiters,8.23,2008
3386,HD 73583 b,103,10.2 Earths,9.67,2022
3387,HD 73583 c,103,9.7 Earths,9.67,2022
3388,HD 74156 b,188,1.67333 Jupiters,7.61,2003
3389,HD 74156 c,188,9.10703 Jupiters,7.61,2003
3390,HD 7449 b,126,8.34612 Jupiters,7.5,2011
3391,HD 75289 b,95,0.49 Jupiters,6.35,1999
3392,HD 75784 b,279,1 Jupiter,7.84,2014
3393,HD 75784 c,279,5.64 Jupiters,7.84,2018
3394,HD 75898 b,255,2.71 Jupiters,8.03,2007
3395,HD 76700 b,199,0.21 Jupiters,8.16,2002
3396,HD 76920 b,600,3.93 Jupiters,7.83,2017
3397,HD 77338 b,150,15.9 Earths,8.63,2012
3398,HD 79181 b,337,0.64 Jupiters,5.72,2021
3399,HD 7924 b,55,6.3566 Earths,7.17896,2008
3400,HD 70642 b,95,1.993 Jupiters,7.17,2003
3401,HD 7199 b,118,0.27 Jupiters,8.06,2011
3402,HD 72490 b,412,1.768 Jupiters,7.82,2018
3403,HD 72659 b,169,3.37143 Jupiters,7.46,2002
3404,HD 72659 c,169,18.71468 Jupiters,7.46,2022
3405,HD 72892 b,227,5.46348 Jupiters,8.83,2016
3406,HD 73267 b,164,4.17014 Jupiters,8.9,2008
3407,HD 73267 c,164,5.40071 Jupiters,8.9,2022
3408,HD 73526 b,317,3.08 Jupiters,8.99,2002
3409,HD 73526 c,317,2.25 Jupiters,8.99,2005
3410,HD 73534 b,272,1.112 Jupiters,8.23,2008
3411,HD 73583 b,103,10.2 Earths,9.67,2022
3412,HD 73583 c,103,9.7 Earths,9.67,2022
